time;position;tas;heading_angle;climb_angle;
4165.714286s;44°31'19.356869"N 3°14'0.843528"W 30000.00ft;700.0km/h;39.34°;0.00°;
4217.142857s;44°35'29.176042"N 3°9'12.862987"W 30000.00ft;700.0km/h;39.40°;0.00°;
4268.571429s;44°39'38.792503"N 3°4'24.192124"W 30000.00ft;700.0km/h;39.46°;0.00°;
4320.000000s;44°43'48.205248"N 2°59'34.828129"W 30000.00ft;700.0km/h;39.51°;0.00°;
4371.428571s;44°47'57.413264"N 2°54'44.768178"W 30000.00ft;700.0km/h;39.57°;0.00°;
4422.857143s;44°52'6.415533"N 2°49'54.009437"W 30000.00ft;700.0km/h;39.63°;0.00°;
4474.285714s;44°56'15.211030"N 2°45'2.549060"W 30000.00ft;700.0km/h;39.68°;0.00°;
4525.714286s;45°0'23.798723"N 2°40'10.384190"W 30000.00ft;700.0km/h;39.74°;0.00°;
4577.142857s;45°4'32.177575"N 2°35'17.511959"W 30000.00ft;700.0km/h;39.80°;0.00°;
4628.571429s;45°8'40.346541"N 2°30'23.929489"W 30000.00ft;700.0km/h;39.86°;0.00°;
4680.000000s;45°12'48.304569"N 2°25'29.633887"W 30000.00ft;700.0km/h;39.92°;0.00°;
4731.428571s;45°16'56.050600"N 2°20'34.622252"W 30000.00ft;700.0km/h;39.98°;0.00°;
4782.857143s;45°21'3.583570"N 2°15'38.891668"W 30000.00ft;700.0km/h;40.03°;0.00°;
4834.285714s;45°25'10.902405"N 2°10'42.439209"W 30000.00ft;700.0km/h;40.09°;0.00°;
4885.714286s;45°29'18.006025"N 2°5'45.261937"W 30000.00ft;700.0km/h;40.15°;0.00°;
4937.142857s;45°33'24.893343"N 2°0'47.356900"W 30000.00ft;700.0km/h;40.21°;0.00°;
4988.571429s;45°37'31.563263"N 1°55'48.721136"W 30000.00ft;700.0km/h;40.27°;0.00°;
5040.000000s;45°41'38.014681"N 1°50'49.351667"W 30000.00ft;700.0km/h;40.33°;0.00°;
5091.428571s;45°45'44.246488"N 1°45'49.245505"W 30000.00ft;700.0km/h;40.39°;0.00°;
5142.857143s;45°49'50.257563"N 1°40'48.399649"W 30000.00ft;700.0km/h;40.45°;0.00°;
5194.285714s;45°53'56.046779"N 1°35'46.811082"W 30000.00ft;700.0km/h;40.51°;0.00°;
5245.714286s;45°58'1.613000"N 1°30'44.476775"W 30000.00ft;700.0km/h;40.57°;0.00°;
5297.142857s;46°2'6.955080"N 1°25'41.393685"W 30000.00ft;700.0km/h;40.63°;0.00°;
5348.571429s;46°6'12.071866"N 1°20'37.558755"W 30000.00ft;700.0km/h;40.70°;0.00°;
5400.000000s;46°10'16.962193"N 1°15'32.968913"W 30000.00ft;700.0km/h;40.76°;0.00°;
5451.428571s;46°14'21.624889"N 1°10'27.621072"W 30000.00ft;700.0km/h;40.82°;0.00°;
5502.857143s;46°18'26.058770"N 1°5'21.512128"W 30000.00ft;700.0km/h;40.88°;0.00°;
5554.285714s;46°22'30.262642"N 1°0'14.638964"W 30000.00ft;700.0km/h;40.94°;0.00°;
5605.714286s;46°26'34.235301"N 0°55'6.998444"W 30000.00ft;700.0km/h;41.01°;0.00°;
5657.142857s;46°30'37.975531"N 0°49'58.587416"W 30000.00ft;700.0km/h;41.07°;0.00°;
5708.571429s;46°34'41.482105"N 0°44'49.402709"W 30000.00ft;700.0km/h;41.13°;0.00°;
5760.000000s;46°38'44.753783"N 0°39'39.441135"W 30000.00ft;700.0km/h;41.19°;0.00°;
5811.428571s;46°42'47.789313"N 0°34'28.699485"W 30000.00ft;700.0km/h;41.26°;0.00°;
5862.857143s;46°46'50.587427"N 0°29'17.174531"W 30000.00ft;700.0km/h;41.32°;0.00°;
5914.285714s;46°50'53.146847"N 0°24'4.863022"W 30000.00ft;700.0km/h;41.39°;0.00°;
5965.714286s;46°54'55.466276"N 0°18'51.761686"W 30000.00ft;700.0km/h;41.45°;0.00°;
6017.142857s;46°58'57.544403"N 0°13'37.867224"W 30000.00ft;700.0km/h;41.51°;0.00°;
6068.571429s;47°2'59.379900"N 0°8'23.176314"W 30000.00ft;700.0km/h;41.58°;0.00°;
6120.000000s;47°7'0.971419"N 0°3'7.685606"W 30000.00ft;700.0km/h;41.64°;0.00°;
6171.428571s;47°11'2.317593"N 0°2'8.608281"E 30000.00ft;700.0km/h;41.71°;0.00°;
6222.857143s;47°15'3.417035"N 0°7'25.708759"E 30000.00ft;700.0km/h;41.78°;0.00°;
6274.285714s;47°19'4.268332"N 0°12'43.619277"E 30000.00ft;700.0km/h;41.84°;0.00°;
6325.714286s;47°23'4.870046"N 0°18'2.343320"E 30000.00ft;700.0km/h;41.91°;0.00°;
6377.142857s;47°27'5.220714"N 0°23'21.884417"E 30000.00ft;700.0km/h;41.97°;0.00°;
6428.571429s;47°31'5.318837"N 0°28'42.246144"E 30000.00ft;700.0km/h;42.04°;0.00°;
6480.000000s;47°35'5.162885"N 0°34'3.432130"E 30000.00ft;700.0km/h;42.11°;0.00°;
6531.428571s;47°39'4.751287"N 0°39'25.446064"E 30000.00ft;700.0km/h;42.18°;0.00°;
6582.857143s;47°43'4.082426"N 0°44'48.291701"E 30000.00ft;700.0km/h;42.24°;0.00°;
6634.285714s;47°47'3.154637"N 0°50'11.972877"E 30000.00ft;700.0km/h;42.31°;0.00°;
6685.714286s;47°51'1.966192"N 0°55'36.493519"E 30000.00ft;700.0km/h;42.38°;0.00°;
6737.142857s;47°55'0.515296"N 1°1'1.857658"E 30000.00ft;700.0km/h;42.45°;0.00°;
6788.571429s;47°58'58.800070"N 1°6'28.069458"E 30000.00ft;700.0km/h;42.52°;0.00°;
6840.000000s;48°2'56.818535"N 1°11'55.133233"E 30000.00ft;700.0km/h;42.59°;0.00°;
6891.428571s;48°6'54.568589"N 1°17'23.053489"E 30000.00ft;700.0km/h;42.66°;0.00°;
6942.857143s;48°10'52.047980"N 1°22'51.834970"E 30000.00ft;700.0km/h;42.73°;0.00°;
6994.285714s;48°14'49.254260"N 1°28'21.482722"E 30000.00ft;700.0km/h;42.80°;0.00°;
7045.714286s;48°18'46.184727"N 1°33'52.002191"E 30000.00ft;700.0km/h;42.87°;0.00°;
7097.142857s;48°22'42.836339"N 1°39'23.399357"E 30000.00ft;700.0km/h;42.95°;0.00°;
7148.571429s;48°26'39.205578"N 1°44'55.680951"E 30000.00ft;700.0km/h;43.02°;0.00°;
7200.000000s;48°30'35.288230"N 1°50'28.854800"E 30000.00ft;700.0km/h;43.09°;0.00°;
7251.428571s;48°34'31.079015"N 1°56'2.930426"E 30000.00ft;700.0km/h;43.17°;0.00°;
7302.857143s;48°38'26.570857"N 2°1'37.920190"E 30000.00ft;700.0km/h;43.25°;0.00°;
7354.285714s;48°42'21.753341"N 2°7'13.841762"E 30000.00ft;700.0km/h;43.33°;0.00°;
7405.714286s;48°46'16.608606"N 2°12'50.724650"E 30000.00ft;700.0km/h;43.41°;0.00°;
7457.142857s;48°50'11.095823"N 2°18'28.634916"E 30000.00ft;700.0km/h;43.51°;0.00°;
7479.408144s;48°51'52.358427"N 2°20'55.472487"E 30000.00ft;700.0km/h;43.66°;0.00°;
Switched destination to waypoint 3
7530.836716s;48°54'40.393194"N 2°27'55.513931"E 30000.00ft;700.0km/h;58.68°;0.00°;
7582.265287s;48°57'28.003196"N 2°34'56.340185"E 30000.00ft;700.0km/h;58.77°;0.00°;
7633.693859s;49°0'15.186933"N 2°41'57.952016"E 30000.00ft;700.0km/h;58.86°;0.00°;
7685.122430s;49°3'1.942908"N 2°49'0.350171"E 30000.00ft;700.0km/h;58.95°;0.00°;
7736.551002s;49°5'48.269616"N 2°56'3.535382"E 30000.00ft;700.0km/h;59.04°;0.00°;
7787.979573s;49°8'34.165553"N 3°3'7.508366"E 30000.00ft;700.0km/h;59.13°;0.00°;
7839.408144s;49°11'19.629208"N 3°10'12.269824"E 30000.00ft;700.0km/h;59.22°;0.00°;
7890.836716s;49°14'4.659072"N 3°17'17.820440"E 30000.00ft;700.0km/h;59.31°;0.00°;
7942.265287s;49°16'49.253629"N 3°24'24.160881"E 30000.00ft;700.0km/h;59.39°;0.00°;
7993.693859s;49°19'33.411363"N 3°31'31.291797"E 30000.00ft;700.0km/h;59.48°;0.00°;
