time;position;tas;heading_angle;climb_angle;
6942.86s;48°10'42.748978"N 1°22'38.943042"E 34999.77ft;700.2km/h;42.73°;0.00°;
6994.29s;48°14'40.136005"N 1°28'8.792602"E 34999.79ft;700.7km/h;42.80°;0.00°;
7045.71s;48°18'37.399837"N 1°33'39.728343"E 34999.81ft;701.1km/h;42.87°;0.00°;
7097.14s;48°22'34.508464"N 1°39'11.718134"E 34999.82ft;701.5km/h;42.94°;0.00°;
7148.57s;48°26'31.420354"N 1°44'44.717296"E 34999.83ft;701.7km/h;43.02°;0.00°;
7200.00s;48°30'28.087394"N 1°50'18.673128"E 34999.84ft;701.9km/h;43.09°;0.00°;
7251.43s;48°34'24.458029"N 1°55'53.530309"E 34999.86ft;701.9km/h;43.17°;0.00°;
7302.86s;48°38'20.480079"N 2°1'29.236942"E 34999.87ft;701.7km/h;43.24°;0.00°;
7354.29s;48°42'16.102452"N 2°7'5.751613"E 34999.88ft;701.5km/h;43.32°;0.00°;
7405.71s;48°46'11.273861"N 2°12'43.053754"E 34999.88ft;701.1km/h;43.41°;0.00°;
7457.14s;48°50'5.929910"N 2°18'21.170664"E 34999.89ft;700.6km/h;43.50°;0.00°;
7479.41s;48°51'47.196910"N 2°20'47.979451"E 34999.90ft;700.1km/h;43.65°;0.00°;
Switched destination to waypoint 3
7530.84s;48°54'35.192836"N 2°27'47.865253"E 34999.90ft;699.9km/h;58.68°;0.00°;
7582.27s;48°57'22.646683"N 2°34'48.239931"E 34999.91ft;699.5km/h;58.77°;0.00°;
7633.69s;49°0'9.567645"N 2°41'49.127301"E 34999.92ft;699.0km/h;58.86°;0.00°;
7685.12s;49°2'55.971392"N 2°48'50.567995"E 34999.92ft;698.6km/h;58.95°;0.00°;
7736.55s;49°5'41.879765"N 2°55'52.619061"E 34999.93ft;698.3km/h;59.03°;0.00°;
7787.98s;49°8'27.319302"N 3°2'55.350569"E 34999.93ft;698.2km/h;59.12°;0.00°;
7839.41s;49°11'12.319444"N 3°9'58.841266"E 34999.94ft;698.1km/h;59.21°;0.00°;
7890.84s;49°13'56.910442"N 3°17'3.173396"E 34999.94ft;698.2km/h;59.30°;0.00°;
7942.27s;49°16'41.121114"N 3°24'8.426936"E 34999.95ft;698.4km/h;59.39°;0.00°;
7993.69s;49°19'24.976563"N 3°31'14.673622"E 34999.95ft;698.8km/h;59.48°;0.00°;
8045.12s;49°22'8.496075"N 3°38'21.971255"E 34999.95ft;699.2km/h;59.57°;0.00°;
8096.55s;49°24'51.691387"N 3°45'30.358830"E 34999.96ft;699.7km/h;59.66°;0.00°;
8147.98s;49°27'34.565530"N 3°52'39.853066"E 34999.96ft;700.2km/h;59.75°;0.00°;
8199.41s;49°30'17.112403"N 3°59'50.446748"E 34999.96ft;700.7km/h;59.84°;0.00°;
8250.84s;49°32'59.317137"N 4°7'2.109156"E 34999.97ft;701.2km/h;59.93°;0.00°;
8302.27s;49°35'41.157236"N 4°14'14.788578"E 34999.97ft;701.5km/h;60.02°;0.00°;
8353.69s;49°38'22.604364"N 4°21'28.416611"E 34999.97ft;701.8km/h;60.12°;0.00°;
8405.12s;49°41'3.626569"N 4°28'42.913801"E 34999.97ft;701.9km/h;60.21°;0.00°;
8456.55s;49°43'44.190716"N 4°35'58.195972"E 34999.97ft;701.9km/h;60.30°;0.00°;
8507.98s;49°46'24.264881"N 4°43'14.180641"E 34999.98ft;701.7km/h;60.39°;0.00°;
8559.41s;49°49'3.820500"N 4°50'30.792960"E 34999.98ft;701.4km/h;60.48°;0.00°;
8610.84s;49°51'42.834143"N 4°57'47.970774"E 34999.98ft;701.0km/h;60.58°;0.00°;
8662.27s;49°54'21.288827"N 5°5'5.668558"E 34999.98ft;700.6km/h;60.67°;0.00°;
8713.69s;49°56'59.174848"N 5°12'23.860119"E 34999.98ft;700.1km/h;60.76°;0.00°;
8765.12s;49°59'36.490131"N 5°19'42.540054"E 34999.98ft;699.6km/h;60.86°;0.00°;
8816.55s;50°2'13.240144"N 5°27'1.723988"E 34999.98ft;699.2km/h;60.95°;0.00°;
8867.98s;50°4'49.437390"N 5°34'21.447649"E 34999.99ft;698.7km/h;61.04°;0.00°;
8919.41s;50°7'25.100503"N 5°41'41.764807"E 34999.99ft;698.4km/h;61.14°;0.00°;
8970.84s;50°10'0.252988"N 5°49'2.744097"E 34999.99ft;698.2km/h;61.23°;0.00°;
9022.27s;50°12'34.921622"N 5°56'24.464815"E 34999.99ft;698.1km/h;61.33°;0.00°;
9073.69s;50°15'9.134571"N 6°3'47.011770"E 34999.99ft;698.2km/h;61.42°;0.00°;
9125.12s;50°17'42.919323"N 6°11'10.469436"E 34999.99ft;698.4km/h;61.52°;0.00°;
9176.55s;50°20'16.300544"N 6°18'34.915738"E 34999.99ft;698.7km/h;61.61°;0.00°;
9227.98s;50°22'49.298046"N 6°26'0.415952"E 34999.99ft;699.1km/h;61.71°;0.00°;
9279.41s;50°25'21.925033"N 6°33'27.017275"E 34999.99ft;699.5km/h;61.80°;0.00°;
9330.84s;50°27'54.186843"N 6°40'54.744659"E 34999.99ft;700.0km/h;61.90°;0.00°;
9382.27s;50°30'26.080323"N 6°48'23.598420"E 34999.99ft;700.6km/h;61.99°;0.00°;
9433.69s;50°32'57.593939"N 6°55'53.553952"E 34999.99ft;701.0km/h;62.09°;0.00°;
9485.12s;50°35'28.708628"N 7°3'24.563648"E 34999.99ft;701.4km/h;62.19°;0.00°;
9536.55s;50°37'59.399297"N 7°10'56.560823"E 34999.99ft;701.7km/h;62.28°;0.00°;
9587.98s;50°40'29.636802"N 7°18'29.465197"E 34999.99ft;701.9km/h;62.38°;0.00°;
9639.41s;50°42'59.390181"N 7°26'3.189344"E 35000.00ft;701.9km/h;62.48°;0.00°;
9690.84s;50°45'28.628927"N 7°33'37.645419"E 35000.00ft;701.8km/h;62.58°;0.00°;
9742.27s;50°47'57.325081"N 7°41'12.751576"E 35000.00ft;701.5km/h;62.67°;0.00°;
9793.69s;50°50'25.455008"N 7°48'48.437587"E 35000.00ft;701.2km/h;62.77°;0.00°;
9845.12s;50°52'53.000753"N 7°56'24.649351"E 35000.00ft;700.8km/h;62.87°;0.00°;
9896.55s;50°55'19.950953"N 8°4'1.352141"E 35000.00ft;700.3km/h;62.97°;0.00°;
9947.98s;50°57'46.301296"N 8°11'38.532547"E 35000.00ft;699.8km/h;63.07°;0.00°;
9999.41s;51°0'12.054552"N 8°19'16.199138"E 35000.00ft;699.3km/h;63.17°;0.00°;
10050.84s;51°2'37.220217"N 8°26'54.381887"E 35000.00ft;698.9km/h;63.27°;0.00°;
10102.27s;51°5'1.813777"N 8°34'33.130410"E 35000.00ft;698.5km/h;63.36°;0.00°;
10153.69s;51°7'25.855629"N 8°42'12.511027"E 35000.00ft;698.3km/h;63.46°;0.00°;
10205.12s;51°9'49.369687"N 8°49'52.602723"E 35000.00ft;698.1km/h;63.56°;0.00°;
10256.55s;51°12'12.381714"N 8°57'33.492086"E 35000.00ft;698.1km/h;63.66°;0.00°;
10307.98s;51°14'34.917438"N 9°5'15.267422"E 35000.00ft;698.3km/h;63.76°;0.00°;
10359.41s;51°16'57.000586"N 9°12'58.012353"E 35000.00ft;698.5km/h;63.86°;0.00°;
10410.84s;51°19'18.650943"N 9°20'41.799365"E 35000.00ft;698.9km/h;63.96°;0.00°;
10462.27s;51°21'39.882645"N 9°28'26.683850"E 35000.00ft;699.4km/h;64.06°;0.00°;
10513.69s;51°24'0.702847"N 9°36'12.699273"E 35000.00ft;699.9km/h;64.17°;0.00°;
10565.12s;51°26'21.110965"N 9°43'59.854016"E 35000.00ft;700.4km/h;64.27°;0.00°;
10616.55s;51°28'41.098562"N 9°51'48.130343"E 35000.00ft;700.9km/h;64.37°;0.00°;
10667.98s;51°31'0.649930"N 9°59'37.485646"E 35000.00ft;701.3km/h;64.47°;0.00°;
10719.41s;51°33'19.743313"N 10°7'27.855890"E 35000.00ft;701.6km/h;64.57°;0.00°;
10770.84s;51°35'38.352616"N 10°15'19.160852"E 35000.00ft;701.8km/h;64.68°;0.00°;
10822.27s;51°37'56.449425"N 10°23'11.310583"E 35000.00ft;701.9km/h;64.78°;0.00°;
10873.69s;51°40'14.005116"N 10°31'4.212398"E 35000.00ft;701.8km/h;64.88°;0.00°;
10925.12s;51°42'30.992853"N 10°38'57.777731"E 35000.00ft;701.6km/h;64.99°;0.00°;
10976.55s;51°44'47.389333"N 10°46'51.928301"E 35000.00ft;701.3km/h;65.09°;0.00°;
11027.98s;51°47'3.176154"N 10°54'46.601214"E 35000.00ft;700.9km/h;65.19°;0.00°;
11079.41s;51°49'18.340777"N 11°2'41.752784"E 35000.00ft;700.4km/h;65.30°;0.00°;
11130.84s;51°51'32.877070"N 11°10'37.360997"E 35000.00ft;699.9km/h;65.40°;0.00°;
11182.27s;51°53'46.785446"N 11°18'33.426631"E 35000.00ft;699.5km/h;65.50°;0.00°;
11233.69s;51°56'0.072631"N 11°26'29.973075"E 35000.00ft;699.0km/h;65.61°;0.00°;
11285.12s;51°58'12.751088"N 11°34'27.044885"E 35000.00ft;698.6km/h;65.71°;0.00°;
11336.55s;52°0'24.838109"N 11°42'24.705128"E 35000.00ft;698.3km/h;65.82°;0.00°;
11387.98s;52°2'36.354621"N 11°50'23.031545"E 35000.00ft;698.2km/h;65.92°;0.00°;
11439.41s;52°4'47.323722"N 11°58'22.111615"E 35000.00ft;698.1km/h;66.03°;0.00°;
11490.84s;52°6'57.769010"N 12°6'22.036681"E 35000.00ft;698.2km/h;66.13°;0.00°;
11542.27s;52°9'7.712795"N 12°14'22.895434"E 35000.00ft;698.4km/h;66.24°;0.00°;
11593.69s;52°11'17.174305"N 12°22'24.767152"E 35000.00ft;698.8km/h;66.34°;0.00°;
11645.12s;52°13'26.168047"N 12°30'27.715277"E 35000.00ft;699.2km/h;66.45°;0.00°;
11696.55s;52°15'34.702476"N 12°38'31.781927"E 35000.00ft;699.7km/h;66.56°;0.00°;
11747.98s;52°17'42.779133"N 12°46'36.983999"E 35000.00ft;700.2km/h;66.66°;0.00°;
11799.41s;52°19'50.392359"N 12°54'43.311325"E 35000.00ft;700.7km/h;66.77°;0.00°;
11850.84s;52°21'57.529645"N 13°2'50.727193"E 35000.00ft;701.2km/h;66.88°;0.00°;
11902.27s;52°24'4.172577"N 13°10'59.171207"E 35000.00ft;701.5km/h;66.98°;0.00°;
11953.69s;52°26'10.298284"N 13°19'8.564186"E 35000.00ft;701.8km/h;67.09°;0.00°;
12005.12s;52°28'15.881214"N 13°27'18.814537"E 35000.00ft;701.9km/h;67.20°;0.00°;
12056.55s;52°30'20.895056"N 13°35'29.825422"E 35000.00ft;701.9km/h;67.31°;0.00°;
12107.98s;52°32'25.314605"N 13°43'41.502003"E 35000.00ft;701.7km/h;67.42°;0.00°;
12159.41s;52°34'29.117433"N 13°51'53.758130"E 35000.00ft;701.4km/h;67.53°;0.00°;
12210.84s;52°36'32.285240"N 14°0'6.522047"E 35000.00ft;701.0km/h;67.64°;0.00°;
12262.27s;52°38'34.804837"N 14°8'19.740799"E 35000.00ft;700.6km/h;67.74°;0.00°;
12313.69s;52°40'36.668742"N 14°16'33.383261"E 35000.00ft;700.1km/h;67.85°;0.00°;
12365.12s;52°42'37.875411"N 14°24'47.441746"E 35000.00ft;699.6km/h;67.96°;0.00°;
12416.55s;52°44'38.429112"N 14°33'1.932246"E 35000.00ft;699.2km/h;68.07°;0.00°;
12467.98s;52°46'38.339481"N 14°41'16.893359"E 35000.00ft;698.7km/h;68.18°;0.00°;
12519.41s;52°48'37.620787"N 14°49'32.383926"E 35000.00ft;698.4km/h;68.29°;0.00°;
12570.84s;52°50'36.290920"N 14°57'48.479449"E 35000.00ft;698.2km/h;68.40°;0.00°;
12622.27s;52°52'34.370127"N 15°6'5.267315"E 35000.00ft;698.1km/h;68.51°;0.00°;
12673.69s;52°54'31.879561"N 15°14'22.841004"E 35000.00ft;698.2km/h;68.62°;0.00°;
