time;position_error
17713.69s;0.7514nm;
17765.12s;0.7523nm;
17816.55s;0.7494nm;
17867.98s;0.7434nm;
17919.41s;0.7348nm;
17970.84s;0.7247nm;
18022.27s;0.7140nm;
18073.69s;0.7039nm;
18125.12s;0.6953nm;
18176.55s;0.6891nm;
18227.98s;0.6860nm;
18279.41s;0.6865nm;
18330.84s;0.6908nm;
18382.27s;0.6988nm;
18433.69s;0.7103nm;
18485.12s;0.7248nm;
18536.55s;0.7415nm;
18587.98s;0.7594nm;
18639.41s;0.7777nm;
18690.84s;0.7953nm;
18742.27s;0.8112nm;
18793.69s;0.8244nm;
18845.12s;0.8344nm;
18896.55s;0.8405nm;
18947.98s;0.8427nm;
18999.41s;0.8410nm;
19050.84s;0.8360nm;
19102.27s;0.8281nm;
19153.69s;0.8184nm;
19205.12s;0.8078nm;
19256.55s;0.7974nm;
19307.98s;0.7882nm;
19359.41s;0.7811nm;
19410.84s;0.7769nm;
19462.27s;0.7762nm;
19513.69s;0.7792nm;
19565.12s;0.7860nm;
19616.55s;0.7964nm;
19667.98s;0.8099nm;
19719.41s;0.8260nm;
19770.84s;0.8436nm;
19822.27s;0.8619nm;
19873.69s;0.8799nm;
19925.12s;0.8964nm;
19976.55s;0.9106nm;
20027.98s;0.9217nm;
20079.41s;0.9292nm;
20130.84s;0.9327nm;
20182.27s;0.9323nm;
20233.69s;0.9283nm;
20285.12s;0.9213nm;
20285.83s;0.7730nm;
20337.26s;0.7810nm;
20388.69s;0.7901nm;
20440.11s;0.7994nm;
20491.54s;0.8081nm;
20542.97s;0.8152nm;
20594.40s;0.8200nm;
20645.83s;0.8220nm;
20697.26s;0.8207nm;
20748.69s;0.8160nm;
20800.11s;0.8081nm;
20851.54s;0.7973nm;
20902.97s;0.7842nm;
20954.40s;0.7694nm;
21005.83s;0.7538nm;
21057.26s;0.7383nm;
21108.69s;0.7239nm;
21160.11s;0.7113nm;
21211.54s;0.7013nm;
21262.97s;0.6943nm;
21314.40s;0.6908nm;
21365.83s;0.6907nm;
21417.26s;0.6940nm;
21468.69s;0.7001nm;
21520.11s;0.7085nm;
21571.54s;0.7183nm;
21622.97s;0.7287nm;
21674.40s;0.7387nm;
21725.83s;0.7474nm;
21777.26s;0.7541nm;
21828.69s;0.7579nm;
21880.11s;0.7586nm;
21931.54s;0.7558nm;
21982.97s;0.7496nm;
22034.40s;0.7402nm;
22085.83s;0.7283nm;
22137.26s;0.7143nm;
22188.69s;0.6993nm;
