time;position;tas;heading_angle;climb_angle;
5091.43s;45°45'49.051547"N 1°45'43.381345"W 34996.74ft;707.0km/h;40.39°;0.00°;
5142.86s;45°49'57.397393"N 1°40'39.658550"W 34996.98ft;706.8km/h;40.45°;0.00°;
5194.29s;45°54'5.285289"N 1°35'35.463362"W 34997.19ft;706.2km/h;40.51°;0.00°;
5245.71s;45°58'12.558893"N 1°30'30.986776"W 34997.39ft;705.1km/h;40.58°;0.00°;
5297.14s;46°2'19.090327"N 1°25'26.387221"W 34997.58ft;703.6km/h;40.64°;0.00°;
5348.57s;46°6'24.789259"N 1°20'21.778722"W 34997.75ft;701.9km/h;40.70°;0.00°;
5400.00s;46°10'29.609256"N 1°15'17.222218"W 34997.91ft;700.0km/h;40.76°;0.00°;
5451.43s;46°14'33.550961"N 1°10'12.720669"W 34998.06ft;698.1km/h;40.82°;0.00°;
5502.86s;46°18'36.661879"N 1°5'8.218331"W 34998.20ft;696.4km/h;40.88°;0.00°;
5554.29s;46°22'39.032779"N 1°0'3.604267"W 34998.33ft;694.9km/h;40.95°;0.00°;
5605.71s;46°26'40.790993"N 0°54'58.719865"W 34998.45ft;693.8km/h;41.01°;0.00°;
5657.14s;46°30'42.091084"N 0°49'53.369844"W 34998.56ft;693.2km/h;41.07°;0.00°;
5708.57s;46°34'43.103581"N 0°44'47.335949"W 34998.66ft;693.0km/h;41.13°;0.00°;
5760.00s;46°38'44.002566"N 0°39'40.392380"W 34998.76ft;693.3km/h;41.19°;0.00°;
5811.43s;46°42'44.953041"N 0°34'32.321831"W 34998.85ft;694.2km/h;41.26°;0.00°;
5862.86s;46°46'46.098965"N 0°29'22.930996"W 34998.93ft;695.4km/h;41.32°;0.00°;
5914.29s;46°50'47.552827"N 0°24'12.064407"W 34999.01ft;697.0km/h;41.38°;0.00°;
5965.71s;46°54'49.387508"N 0°18'59.615613"W 34999.08ft;698.8km/h;41.45°;0.00°;
6017.14s;46°58'51.631007"N 0°13'45.534871"W 34999.14ft;700.6km/h;41.51°;0.00°;
6068.57s;47°2'54.264421"N 0°8'29.832782"W 34999.20ft;702.5km/h;41.58°;0.00°;
6120.00s;47°6'57.223297"N 0°3'12.579592"W 34999.26ft;704.1km/h;41.64°;0.00°;
6171.43s;47°11'0.402273"N 0°2'6.099820"E 34999.31ft;705.5km/h;41.71°;0.00°;
6222.86s;47°15'3.662652"N 0°7'26.034922"E 34999.36ft;706.4km/h;41.77°;0.00°;
6274.29s;47°19'6.842361"N 0°12'47.021854"E 34999.41ft;706.9km/h;41.84°;0.00°;
6325.71s;47°23'9.767579"N 0°18'8.838233"E 34999.45ft;706.9km/h;41.91°;0.00°;
6377.14s;47°27'12.265176"N 0°23'31.259367"E 34999.49ft;706.4km/h;41.98°;0.00°;
6428.57s;47°31'14.175077"N 0°28'54.074740"E 34999.53ft;705.5km/h;42.04°;0.00°;
6480.00s;47°35'15.361660"N 0°34'17.103555"E 34999.56ft;704.1km/h;42.11°;0.00°;
6531.43s;47°39'15.723354"N 0°39'40.208228"E 34999.59ft;702.5km/h;42.18°;0.00°;
6582.86s;47°43'15.199769"N 0°45'3.304827"E 34999.62ft;700.6km/h;42.25°;0.00°;
6634.29s;47°47'13.775834"N 0°50'26.369699"E 34999.65ft;698.8km/h;42.31°;0.00°;
6685.71s;47°51'11.482658"N 0°55'49.441781"E 34999.67ft;697.0km/h;42.38°;0.00°;
6737.14s;47°55'8.395058"N 1°1'12.620406"E 34999.70ft;695.4km/h;42.45°;0.00°;
6788.57s;47°59'4.625933"N 1°6'36.058741"E 34999.72ft;694.2km/h;42.52°;0.00°;
6840.00s;48°3'0.317897"N 1°11'59.953324"E 34999.74ft;693.3km/h;42.59°;0.00°;
6891.43s;48°6'55.632778"N 1°17'24.530426"E 34999.76ft;693.0km/h;42.66°;0.00°;
6942.86s;48°10'50.739732"N 1°22'50.030227"E 34999.77ft;693.2km/h;42.73°;0.00°;
6994.29s;48°14'45.802841"N 1°28'16.689950"E 34999.79ft;693.8km/h;42.80°;0.00°;
7045.71s;48°18'40.969056"N 1°33'44.727169"E 34999.81ft;694.9km/h;42.87°;0.00°;
7097.14s;48°22'36.357359"N 1°39'14.324537"E 34999.82ft;696.4km/h;42.94°;0.00°;
7148.57s;48°26'32.049893"N 1°44'45.617069"E 34999.83ft;698.1km/h;43.02°;0.00°;
7200.00s;48°30'28.085641"N 1°50'18.682991"E 34999.84ft;700.0km/h;43.09°;0.00°;
7251.43s;48°34'24.457016"N 1°55'53.538976"E 34999.86ft;701.9km/h;43.17°;0.00°;
7302.86s;48°38'21.109391"N 2°1'30.140480"E 34999.87ft;703.6km/h;43.24°;0.00°;
