time;position;tas;heading_angle;climb_angle;
4937.14s;45°33'21.576779"N 2°0'51.364217"W 34995.93ft;704.6km/h;40.21°;0.00°;
4988.57s;45°37'28.626401"N 1°55'52.281966"W 34996.22ft;705.8km/h;40.27°;0.00°;
5040.00s;45°41'35.308655"N 1°50'52.643946"W 34996.49ft;706.7km/h;40.33°;0.00°;
5091.43s;45°45'41.602155"N 1°45'52.473691"W 34996.74ft;707.0km/h;40.39°;0.00°;
5142.86s;45°49'47.497734"N 1°40'51.780109"W 34996.98ft;706.8km/h;40.45°;0.00°;
5194.29s;45°53'52.999006"N 1°35'50.556555"W 34997.19ft;706.2km/h;40.51°;0.00°;
5245.71s;45°57'58.121998"N 1°30'48.781014"W 34997.39ft;705.1km/h;40.57°;0.00°;
5297.14s;46°2'2.893894"N 1°25'46.417396"W 34997.58ft;703.6km/h;40.63°;0.00°;
5348.57s;46°6'7.350970"N 1°20'43.417855"W 34997.75ft;701.9km/h;40.69°;0.00°;
5400.00s;46°10'11.535886"N 1°15'39.725966"W 34997.91ft;700.0km/h;40.76°;0.00°;
5451.43s;46°14'15.494511"N 1°10'35.280535"W 34998.06ft;698.1km/h;40.82°;0.00°;
5502.86s;46°18'19.272531"N 1°5'30.019774"W 34998.20ft;696.4km/h;40.88°;0.00°;
5554.29s;46°22'22.912072"N 1°0'23.885534"W 34998.33ft;694.9km/h;40.94°;0.00°;
5605.71s;46°26'26.448582"N 0°55'16.827301"W 34998.45ft;693.8km/h;41.00°;0.00°;
5657.14s;46°30'29.908208"N 0°50'8.805654"W 34998.56ft;693.2km/h;41.07°;0.00°;
5708.57s;46°34'33.305837"N 0°44'59.794938"W 34998.66ft;693.0km/h;41.13°;0.00°;
5760.00s;46°38'36.643958"N 0°39'49.784962"W 34998.76ft;693.3km/h;41.19°;0.00°;
5811.43s;46°42'39.912417"N 0°34'38.781576"W 34998.85ft;694.2km/h;41.26°;0.00°;
5862.86s;46°46'43.089078"N 0°29'26.806099"W 34998.93ft;695.4km/h;41.32°;0.00°;
5914.29s;46°50'46.141356"N 0°24'13.893623"W 34999.01ft;697.0km/h;41.38°;0.00°;
5965.71s;46°54'49.028485"N 0°19'0.090315"W 34999.08ft;698.8km/h;41.45°;0.00°;
6017.14s;46°58'51.704381"N 0°13'45.449896"W 34999.14ft;700.6km/h;41.51°;0.00°;
6068.57s;47°2'54.120877"N 0°8'30.029562"W 34999.20ft;702.5km/h;41.58°;0.00°;
6120.00s;47°6'56.231099"N 0°3'13.885630"W 34999.26ft;704.1km/h;41.64°;0.00°;
6171.43s;47°10'57.992742"N 0°2'2.930781"E 34999.31ft;705.5km/h;41.71°;0.00°;
6222.86s;47°14'59.371010"N 0°7'20.377714"E 34999.36ft;706.4km/h;41.77°;0.00°;
6274.29s;47°19'0.341007"N 0°12'38.425702"E 34999.41ft;706.9km/h;41.84°;0.00°;
6325.71s;47°23'0.889404"N 0°17'57.060211"E 34999.45ft;706.9km/h;41.91°;0.00°;
6377.14s;47°27'1.015273"N 0°23'16.283022"E 34999.49ft;706.4km/h;41.97°;0.00°;
6428.57s;47°31'0.730015"N 0°28'36.112446"E 34999.53ft;705.5km/h;42.04°;0.00°;
6480.00s;47°35'0.056407"N 0°33'56.582348"E 34999.56ft;704.1km/h;42.11°;0.00°;
6531.43s;47°38'59.026819"N 0°39'17.740051"E 34999.59ft;702.5km/h;42.17°;0.00°;
6582.86s;47°42'57.680747"N 0°44'39.643257"E 34999.62ft;700.6km/h;42.24°;0.00°;
6634.29s;47°46'56.061824"N 0°50'2.356214"E 34999.65ft;698.8km/h;42.31°;0.00°;
6685.71s;47°50'54.214543"N 0°55'25.945401"E 34999.67ft;697.0km/h;42.38°;0.00°;
6737.14s;47°54'52.180915"N 1°0'50.475032"E 34999.70ft;695.4km/h;42.45°;0.00°;
6788.57s;47°58'49.997304"N 1°6'16.002718"E 34999.72ft;694.2km/h;42.52°;0.00°;
6840.00s;48°2'47.691665"N 1°11'42.575601"E 34999.74ft;693.3km/h;42.59°;0.00°;
6891.43s;48°6'45.281388"N 1°17'10.227235"E 34999.76ft;693.0km/h;42.66°;0.00°;
6942.86s;48°10'42.771883"N 1°22'38.975467"E 34999.77ft;693.2km/h;42.73°;0.00°;
6994.29s;48°14'40.156011"N 1°28'8.821474"E 34999.79ft;693.8km/h;42.80°;0.00°;
7045.71s;48°18'37.414397"N 1°33'39.750041"E 34999.81ft;694.9km/h;42.87°;0.00°;
7097.14s;48°22'34.516566"N 1°39'11.731109"E 34999.82ft;696.4km/h;42.94°;0.00°;
7148.57s;48°26'31.422818"N 1°44'44.722499"E 34999.83ft;698.1km/h;43.02°;0.00°;
7200.00s;48°30'28.086632"N 1°50'18.673727"E 34999.84ft;700.0km/h;43.09°;0.00°;
7251.43s;48°34'24.457368"N 1°55'53.530743"E 34999.86ft;701.9km/h;43.17°;0.00°;
7302.86s;48°38'20.482834"N 2°1'29.241621"E 34999.87ft;703.6km/h;43.24°;0.00°;
7354.29s;48°42'16.111026"N 2°7'5.763601"E 34999.88ft;705.1km/h;43.32°;0.00°;
7405.71s;48°46'11.289144"N 2°12'43.073800"E 34999.88ft;706.2km/h;43.41°;0.00°;
7457.14s;48°50'5.951279"N 2°18'21.196631"E 34999.89ft;706.8km/h;43.50°;0.00°;
7479.41s;48°51'45.925718"N 2°20'46.133349"E 34999.90ft;707.0km/h;43.65°;0.00°;
Switched destination to waypoint 3
7530.84s;48°54'34.502807"N 2°27'48.503909"E 33928.47ft;706.9km/h;58.68°;-1.85°;
7582.27s;48°57'21.888657"N 2°34'48.699308"E 32933.58ft;706.4km/h;58.77°;-1.72°;
7633.69s;49°0'8.758534"N 2°41'49.448506"E 32009.76ft;705.4km/h;58.86°;-1.60°;
7685.12s;49°2'55.126916"N 2°48'50.789659"E 31151.92ft;704.0km/h;58.94°;-1.49°;
7736.55s;49°5'41.014971"N 2°55'52.778625"E 30355.35ft;702.3km/h;59.03°;-1.39°;
7787.98s;49°8'26.448728"N 3°2'55.484659"E 29615.68ft;700.4km/h;59.12°;-1.29°;
7839.41s;49°11'11.456920"N 3°9'58.985189"E 28928.85ft;698.6km/h;59.21°;-1.20°;
7890.84s;49°13'56.068664"N 3°17'3.359997"E 28291.07ft;696.8km/h;59.30°;-1.12°;
7942.27s;49°16'40.311137"N 3°24'8.685260"E 27698.85ft;695.3km/h;59.39°;-1.04°;
7993.69s;49°19'24.207422"N 3°31'15.027850"E 27148.94ft;694.1km/h;59.48°;-0.97°;
8045.12s;49°22'7.774669"N 3°38'22.440310"E 26638.30ft;693.3km/h;59.57°;-0.90°;
