time;position;tas;heading_angle;climb_angle;
8456.55s;49°43'43.523366"N 4°35'58.733714"E 23669.27ft;700.0km/h;60.30°;-0.49°;
8507.98s;49°46'23.293882"N 4°43'13.881527"E 23407.18ft;700.0km/h;60.39°;-0.46°;
8559.41s;49°49'2.613231"N 4°50'29.833610"E 23163.81ft;700.0km/h;60.48°;-0.43°;
8610.84s;49°51'41.479603"N 4°57'46.589783"E 22937.82ft;700.0km/h;60.58°;-0.39°;
8662.27s;49°54'19.891211"N 5°5'4.149909"E 22727.98ft;700.0km/h;60.67°;-0.37°;
8713.69s;49°56'57.846287"N 5°12'22.513885"E 22533.12ft;700.0km/h;60.76°;-0.34°;
8765.12s;49°59'35.343083"N 5°19'41.681634"E 22352.18ft;700.0km/h;60.86°;-0.32°;
8816.55s;50°2'12.379866"N 5°27'1.653104"E 22184.17ft;700.0km/h;60.95°;-0.29°;
8867.98s;50°4'48.954918"N 5°34'22.428260"E 22028.16ft;700.0km/h;61.04°;-0.27°;
8919.41s;50°7'25.066533"N 5°41'44.007081"E 21883.29ft;700.0km/h;61.14°;-0.25°;
8970.84s;50°10'0.713016"N 5°49'6.389557"E 21748.77ft;700.0km/h;61.23°;-0.23°;
9022.27s;50°12'35.892681"N 5°56'29.575684"E 21623.86ft;700.0km/h;61.33°;-0.22°;
9073.69s;50°15'10.603852"N 6°3'53.565464"E 21507.87ft;700.0km/h;61.42°;-0.20°;
9125.12s;50°17'44.844859"N 6°11'18.358898"E 21400.16ft;700.0km/h;61.52°;-0.19°;
9176.55s;50°20'18.614039"N 6°18'43.955989"E 21300.15ft;700.0km/h;61.61°;-0.17°;
9227.98s;50°22'51.909735"N 6°26'10.356734"E 21207.28ft;700.0km/h;61.71°;-0.16°;
9279.41s;50°25'24.730295"N 6°33'37.561127"E 21121.05ft;700.0km/h;61.80°;-0.15°;
9330.84s;50°27'57.074072"N 6°41'5.569156"E 21040.97ft;700.0km/h;61.90°;-0.14°;
