time;position_error
17199.41s;0.0468nm;
17250.84s;0.0380nm;
17302.27s;0.0264nm;
17353.69s;0.0130nm;
17405.12s;0.0014nm;
17456.55s;0.0158nm;
17507.98s;0.0289nm;
17559.41s;0.0400nm;
17610.84s;0.0482nm;
17662.27s;0.0529nm;
17713.69s;0.0539nm;
17765.12s;0.0509nm;
17816.55s;0.0442nm;
17867.98s;0.0344nm;
17919.41s;0.0221nm;
17970.84s;0.0082nm;
18022.27s;0.0063nm;
18073.69s;0.0203nm;
18125.12s;0.0329nm;
18176.55s;0.0431nm;
18227.98s;0.0502nm;
18279.41s;0.0537nm;
18330.84s;0.0533nm;
18382.27s;0.0491nm;
18433.69s;0.0413nm;
18485.12s;0.0306nm;
18536.55s;0.0176nm;
18587.98s;0.0034nm;
18639.41s;0.0111nm;
18690.84s;0.0247nm;
18742.27s;0.0366nm;
18793.69s;0.0458nm;
18845.12s;0.0518nm;
18896.55s;0.0540nm;
18947.98s;0.0523nm;
18999.41s;0.0468nm;
19050.84s;0.0380nm;
19102.27s;0.0264nm;
19153.69s;0.0130nm;
19205.12s;0.0014nm;
19256.55s;0.0158nm;
19307.98s;0.0289nm;
19359.41s;0.0400nm;
19410.84s;0.0482nm;
19462.27s;0.0529nm;
19513.69s;0.0539nm;
19565.12s;0.0509nm;
19616.55s;0.0442nm;
19667.98s;0.0344nm;
19719.41s;0.0221nm;
19770.84s;0.0082nm;
19822.27s;0.0063nm;
19873.69s;0.0203nm;
19925.12s;0.0329nm;
19976.55s;0.0431nm;
20027.98s;0.0502nm;
20079.41s;0.0537nm;
20130.84s;0.0533nm;
20182.27s;0.0491nm;
20233.69s;0.0413nm;
20285.12s;0.0306nm;
20285.83s;0.0004nm;
20337.26s;0.0174nm;
20388.69s;0.0032nm;
20440.11s;0.0113nm;
20491.54s;0.0249nm;
20542.97s;0.0368nm;
20594.40s;0.0460nm;
20645.83s;0.0518nm;
20697.26s;0.0540nm;
20748.69s;0.0523nm;
20800.11s;0.0467nm;
20851.54s;0.0379nm;
20902.97s;0.0263nm;
20954.40s;0.0128nm;
21005.83s;0.0016nm;
21057.26s;0.0159nm;
21108.69s;0.0291nm;
21160.11s;0.0401nm;
21211.54s;0.0483nm;
21262.97s;0.0530nm;
21314.40s;0.0538nm;
21365.83s;0.0508nm;
21417.26s;0.0441nm;
21468.69s;0.0343nm;
21520.11s;0.0219nm;
21571.54s;0.0080nm;
21622.97s;0.0065nm;
21674.40s;0.0205nm;
21725.83s;0.0331nm;
21777.26s;0.0432nm;
21828.69s;0.0503nm;
21880.11s;0.0537nm;
21931.54s;0.0533nm;
21982.97s;0.0490nm;
22034.40s;0.0412nm;
22085.83s;0.0304nm;
22137.26s;0.0174nm;
22188.69s;0.0032nm;
22240.11s;0.0113nm;
22291.54s;0.0249nm;
22342.97s;0.0367nm;
22394.40s;0.0459nm;
22445.83s;0.0518nm;
22497.26s;0.0540nm;
22548.69s;0.0522nm;
22600.11s;0.0467nm;
22651.54s;0.0379nm;
22702.97s;0.0263nm;
22754.40s;0.0128nm;
22805.83s;0.0016nm;
22857.26s;0.0159nm;
22908.69s;0.0291nm;
22960.11s;0.0401nm;
23011.54s;0.0483nm;
23062.97s;0.0530nm;
23114.40s;0.0538nm;
23165.83s;0.0508nm;
23217.26s;0.0441nm;
23268.69s;0.0343nm;
23320.11s;0.0219nm;
23371.54s;0.0080nm;
23422.97s;0.0065nm;
23474.40s;0.0205nm;
23525.83s;0.0331nm;
23577.26s;0.0432nm;
23628.69s;0.0503nm;
23680.11s;0.0537nm;
23731.54s;0.0533nm;
23782.97s;0.0490nm;
23834.40s;0.0412nm;
23885.83s;0.0304nm;
23937.26s;0.0174nm;
23988.69s;0.0032nm;
24040.11s;0.0113nm;
24091.54s;0.0249nm;
24142.97s;0.0367nm;
24194.40s;0.0459nm;
24245.83s;0.0518nm;
24297.26s;0.0540nm;
24348.69s;0.0522nm;
24400.11s;0.0467nm;
24451.54s;0.0379nm;
24502.97s;0.0263nm;
24554.40s;0.0128nm;
24605.83s;0.0016nm;
24657.26s;0.0159nm;
24708.69s;0.0291nm;
24760.11s;0.0401nm;
24811.54s;0.0483nm;
24862.97s;0.0530nm;
24914.40s;0.0538nm;
24965.83s;0.0508nm;
25017.26s;0.0441nm;
25068.69s;0.0343nm;
25120.11s;0.0219nm;
25171.54s;0.0080nm;
25222.97s;0.0065nm;
25274.40s;0.0205nm;
25325.83s;0.0331nm;
25377.26s;0.0432nm;
25428.69s;0.0503nm;
25480.11s;0.0537nm;
25531.54s;0.0533nm;
25582.97s;0.0490nm;
25634.40s;0.0412nm;
25685.83s;0.0304nm;
25737.26s;0.0174nm;
25788.69s;0.0032nm;
25840.11s;0.0113nm;
25891.54s;0.0249nm;
25942.97s;0.0367nm;
25994.40s;0.0459nm;
26045.83s;0.0518nm;
26097.26s;0.0540nm;
26148.69s;0.0522nm;
26200.11s;0.0467nm;
26251.54s;0.0379nm;
26302.97s;0.0263nm;
26354.40s;0.0128nm;
26405.83s;0.0016nm;
26457.26s;0.0159nm;
26508.69s;0.0291nm;
26560.11s;0.0401nm;
